0,/Library/Application Support/NewBlue/Titler Content/Resources/Library/Project Templates/Lower 3rds/Drift L3rd.nbtitle,Drift L3rd.nbtitle,Name,Duration,Name,Subtitle
1,,Title,Title 01,00:00:00;00,XefzX,XshpX
2,,Title,Title 02,00:00:00;00,XefzX,XshpX
3,,Title,Title 03,00:00:00;00,XefzX,XshpX
4,,Title,Title 04,00:00:00;00,XefzX,XshpX
5,,Title,Title 05,00:00:00;00,XefzX,XshpX
6,,Title,Title 06,00:00:00;00,XefzX,XshpX
7,,Title,Title 07,00:00:00;00,XefzX,XshpX
8,,Title,Title 08,00:00:00;00,XefzX,XshpX
9,,Title,Title 09,00:00:00;00,XefzX,XshpX
10,,Title,Title 10,00:00:00;00,XefzX,XshpX
11,,Title,Title 11,00:00:00;00,XefzX,XshpX
12,,Title,Title 12,00:00:00;00,XefzX,XshpX
13,,Title,Title 13,00:00:00;00,XefzX,XshpX
14,,Title,Title 14,00:00:00;00,XefzX,XshpX
15,,Title,Title 15,00:00:00;00,XefzX,XshpX
16,,Title,Title 16,00:00:00;00,XefzX,XshpX
17,,Title,Title 17,00:00:00;00,XefzX,XshpX
18,,Title,Title 18,00:00:00;00,XefzX,XshpX
19,,Title,Title 19,00:00:00;00,XefzX,XshpX
20,,Title,Title 20,00:00:00;00,XefzX,XshpX
21,,Title,Title 21,00:00:00;00,XefzX,XshpX
22,,Title,Title 22,00:00:00;00,XefzX,XshpX
23,,Title,Title 23,00:00:00;00,XefzX,XshpX
24,,Title,Title 24,00:00:00;00,XefzX,XshpX
25,,Title,Title 25,00:00:00;00,XefzX,XshpX
26,,Title,Title 26,00:00:00;00,XefzX,XshpX
27,,Title,Title 27,00:00:00;00,XefzX,XshpX
28,,Title,Title 28,00:00:00;00,XefzX,XshpX
29,,Title,Title 29,00:00:00;00,XefzX,XshpX
30,,Title,Title 30,00:00:00;00,XefzX,XshpX
31,,Title,Title 31,00:00:00;00,XefzX,XshpX
32,,Title,Title 32,00:00:00;00,XefzX,XshpX
33,,Title,Title 33,00:00:00;00,XefzX,XshpX
34,,Title,Title 34,00:00:00;00,XefzX,XshpX
35,,Title,Title 35,00:00:00;00,XefzX,XshpX
36,,Title,Title 36,00:00:00;00,XefzX,XshpX
37,,Title,Title 37,00:00:00;00,XefzX,XshpX
38,,Title,Title 38,00:00:00;00,XefzX,XshpX
39,,Title,Title 39,00:00:00;00,XefzX,XshpX
